sample_id_1	sample_id_2	euclidean_distance
SRR17385284	SRR17385284	0
SRR17385295	SRR17385284	93.4447876048365
SRR17385296	SRR17385284	86.4478032818594
SRR17385300	SRR17385284	96.4077711652045
SRR17385302	SRR17385284	48.3245540118716
SRR17385301	SRR17385284	73.6555832854416
SRR17385284	SRR17385295	93.4447876048365
SRR17385295	SRR17385295	0
SRR17385296	SRR17385295	55.4045102729628
SRR17385300	SRR17385295	37.4243687635983
SRR17385302	SRR17385295	82.0618326757331
SRR17385301	SRR17385295	81.6643317221855
SRR17385284	SRR17385296	86.4478032818594
SRR17385295	SRR17385296	55.4045102729628
SRR17385296	SRR17385296	0
SRR17385300	SRR17385296	60.9062630202083
SRR17385302	SRR17385296	79.7737566467053
SRR17385301	SRR17385296	84.8798222601388
SRR17385284	SRR17385300	96.4077711652045
SRR17385295	SRR17385300	37.4243687635983
SRR17385296	SRR17385300	60.9062630202083
SRR17385300	SRR17385300	0
SRR17385302	SRR17385300	83.9893888734187
SRR17385301	SRR17385300	82.342401277942
SRR17385284	SRR17385302	48.3245540118716
SRR17385295	SRR17385302	82.0618326757331
SRR17385296	SRR17385302	79.7737566467053
SRR17385300	SRR17385302	83.9893888734187
SRR17385302	SRR17385302	0
SRR17385301	SRR17385302	48.1976366032732
SRR17385284	SRR17385301	73.6555832854416
SRR17385295	SRR17385301	81.6643317221855
SRR17385296	SRR17385301	84.8798222601388
SRR17385300	SRR17385301	82.342401277942
SRR17385302	SRR17385301	48.1976366032732
SRR17385301	SRR17385301	0
