sample_id_1	sample_id_2	spearman_correlation
SRR33083346	SRR33083346	1
SRR33083347	SRR33083346	0.987759274803265
SRR33083355	SRR33083346	0.97629052144193
SRR33083354	SRR33083346	0.979205647654852
SRR33083353	SRR33083346	0.979035152900965
SRR33083344	SRR33083347	0.925692598945791
SRR33083345	SRR33083347	0.94031619046145
SRR33083338	SRR33083347	0.93566733695123
SRR33083351	SRR33083347	0.961733780884678
SRR33083339	SRR33083347	0.959809486225458
SRR33083340	SRR33083347	0.961057866569752
SRR33083352	SRR33083347	0.983001835678099
SRR33083346	SRR33083347	0.987759274803265
SRR33083347	SRR33083347	1
SRR33083355	SRR33083347	0.979425578797296
SRR33083354	SRR33083347	0.982645297943672
SRR33083353	SRR33083347	0.981914515426435
SRR33083344	SRR33083355	0.920475356092941
SRR33083345	SRR33083355	0.937488252624215
SRR33083338	SRR33083355	0.931340098325657
SRR33083351	SRR33083355	0.957378879918624
SRR33083339	SRR33083355	0.956703401835407
SRR33083340	SRR33083355	0.957851078242982
SRR33083352	SRR33083355	0.971908826340145
SRR33083346	SRR33083355	0.97629052144193
SRR33083347	SRR33083355	0.979425578797296
SRR33083355	SRR33083355	1
SRR33083354	SRR33083355	0.98914728438119
SRR33083353	SRR33083355	0.985979884549127
SRR33083344	SRR33083354	0.921412700456925
SRR33083345	SRR33083354	0.938621884660718
SRR33083338	SRR33083354	0.932546571553747
SRR33083351	SRR33083354	0.960984121305048
SRR33083339	SRR33083354	0.959797311203766
SRR33083340	SRR33083354	0.961165619020448
SRR33083352	SRR33083354	0.976515943118246
SRR33083346	SRR33083354	0.979205647654852
SRR33083347	SRR33083354	0.982645297943672
SRR33083355	SRR33083354	0.98914728438119
SRR33083354	SRR33083354	1
SRR33083353	SRR33083354	0.989120025306987
SRR33083344	SRR33083353	0.914311076432076
SRR33083345	SRR33083353	0.932881925975494
SRR33083338	SRR33083353	0.925980350565414
SRR33083351	SRR33083353	0.955017076542251
SRR33083339	SRR33083353	0.952778361673451
SRR33083340	SRR33083353	0.954457332107081
SRR33083352	SRR33083353	0.976077268356573
SRR33083346	SRR33083353	0.979035152900965
SRR33083347	SRR33083353	0.981914515426435
SRR33083355	SRR33083353	0.985979884549127
SRR33083354	SRR33083353	0.989120025306987
SRR33083353	SRR33083353	1
