sample_id	species	bioproject	analysis_group	design_cell	raw_library_size	detected_ge_1	detected_ge_10	size_factor	status	mapping_flag	num_processed	num_mapped	percent_mapped	library_types	salmon_version	index_seq_hash	index_name_hash	expected_format	compatible_fragment_ratio	elapsed_seconds
SRR2545903	glycine_max	PRJNA295411	soybean_prjna295411	elevated:air_drying	22648714.943	42778	35610	0.870287309933027	pass	pass	25371243	22648715	89.2692368284833	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1	343
SRR2545902	glycine_max	PRJNA295411	soybean_prjna295411	elevated:air_drying	24449415.984	43107	36075	0.959789421209538	pass	pass	27556027	24449416	88.7262013497084	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1	276
SRR2545899	glycine_max	PRJNA295411	soybean_prjna295411	elevated:well_watered	21368921.983	42574	35641	0.946742685402185	pass	pass	23870953	21368922	89.5185123107569	ISF	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISF	1	384
SRR2545898	glycine_max	PRJNA295411	soybean_prjna295411	elevated:well_watered	23734717.97	42525	35755	1.0249792494008	pass	pass	26318128	23734718	90.1839142966399	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1	264
SRR2545901	glycine_max	PRJNA295411	soybean_prjna295411	ambient:air_drying	27115503.989	43348	36465	1.04238513437481	pass	pass	30687081	27115504	88.3613009657061	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1	326
SRR2545900	glycine_max	PRJNA295411	soybean_prjna295411	ambient:air_drying	24929242.978	43364	36510	1.04077933982169	pass	pass	27865454	24929243	89.4628991151553	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1	360
SRR2545897	glycine_max	PRJNA295411	soybean_prjna295411	ambient:well_watered	23267480.998	42935	36187	1.08415234999317	pass	pass	26247920	23267481	88.6450469218132	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1	268
SRR2545896	glycine_max	PRJNA295411	soybean_prjna295411	ambient:well_watered	23538572.017	43152	36349	1.09158960861661	pass	pass	26548767	23538572	88.6616391638828	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1	344
