sample_id_1	sample_id_2	euclidean_distance
SRR2545903	SRR2545903	0
SRR2545902	SRR2545903	65.8537615842971
SRR2545899	SRR2545903	169.451331540469
SRR2545898	SRR2545903	177.980387025633
SRR2545901	SRR2545903	59.9577665835751
SRR2545900	SRR2545903	67.9865019248993
SRR2545897	SRR2545903	174.24239375234
SRR2545896	SRR2545903	165.565038922609
SRR2545903	SRR2545902	65.8537615842971
SRR2545902	SRR2545902	0
SRR2545899	SRR2545902	159.331949027502
SRR2545898	SRR2545902	168.127249433888
SRR2545901	SRR2545902	70.8183457385874
SRR2545900	SRR2545902	57.8961818159373
SRR2545897	SRR2545902	159.482325822551
SRR2545896	SRR2545902	153.770302263876
SRR2545903	SRR2545899	169.451331540469
SRR2545902	SRR2545899	159.331949027502
SRR2545899	SRR2545899	0
SRR2545898	SRR2545899	58.4620778679479
SRR2545901	SRR2545899	174.066828241262
SRR2545900	SRR2545899	163.709569018104
SRR2545897	SRR2545899	57.9191113796733
SRR2545896	SRR2545899	57.1194686210489
SRR2545903	SRR2545898	177.980387025633
SRR2545902	SRR2545898	168.127249433888
SRR2545899	SRR2545898	58.4620778679479
SRR2545898	SRR2545898	0
SRR2545901	SRR2545898	182.335839508852
SRR2545900	SRR2545898	174.759766581203
SRR2545897	SRR2545898	71.2168305481627
SRR2545896	SRR2545898	58.6628332085805
SRR2545903	SRR2545901	59.9577665835751
SRR2545902	SRR2545901	70.8183457385874
SRR2545899	SRR2545901	174.066828241262
SRR2545898	SRR2545901	182.335839508852
SRR2545901	SRR2545901	0
SRR2545900	SRR2545901	60.8047435501044
SRR2545897	SRR2545901	174.694325274123
SRR2545896	SRR2545901	167.954685558206
SRR2545903	SRR2545900	67.9865019248993
SRR2545902	SRR2545900	57.8961818159373
SRR2545899	SRR2545900	163.709569018104
SRR2545898	SRR2545900	174.759766581203
SRR2545901	SRR2545900	60.8047435501044
SRR2545900	SRR2545900	0
SRR2545897	SRR2545900	161.691473013995
SRR2545896	SRR2545900	155.430164580444
SRR2545903	SRR2545897	174.24239375234
SRR2545902	SRR2545897	159.482325822551
SRR2545899	SRR2545897	57.9191113796733
SRR2545898	SRR2545897	71.2168305481627
SRR2545901	SRR2545897	174.694325274123
SRR2545900	SRR2545897	161.691473013995
SRR2545897	SRR2545897	0
SRR2545896	SRR2545897	54.5833858635168
SRR2545903	SRR2545896	165.565038922609
SRR2545902	SRR2545896	153.770302263876
SRR2545899	SRR2545896	57.1194686210489
SRR2545898	SRR2545896	58.6628332085805
SRR2545901	SRR2545896	167.954685558206
SRR2545900	SRR2545896	155.430164580444
SRR2545897	SRR2545896	54.5833858635168
SRR2545896	SRR2545896	0
