sample_id_1	sample_id_2	spearman_correlation
SRR2545903	SRR2545903	1
SRR2545902	SRR2545903	0.986125392060984
SRR2545899	SRR2545903	0.913687447272989
SRR2545898	SRR2545903	0.905533775531825
SRR2545901	SRR2545903	0.989230805224752
SRR2545900	SRR2545903	0.985452210028003
SRR2545897	SRR2545903	0.908013027237195
SRR2545896	SRR2545903	0.916454693878217
SRR2545903	SRR2545902	0.986125392060984
SRR2545902	SRR2545902	1
SRR2545899	SRR2545902	0.923340206498368
SRR2545898	SRR2545902	0.915536788239047
SRR2545901	SRR2545902	0.984169684699322
SRR2545900	SRR2545902	0.989231016763854
SRR2545897	SRR2545902	0.922669320311116
SRR2545896	SRR2545902	0.927781121617337
SRR2545903	SRR2545899	0.913687447272989
SRR2545902	SRR2545899	0.923340206498368
SRR2545899	SRR2545899	1
SRR2545898	SRR2545899	0.989407633486446
SRR2545901	SRR2545899	0.907893652746129
SRR2545900	SRR2545899	0.915631286620721
SRR2545897	SRR2545899	0.989323778469815
SRR2545896	SRR2545899	0.989492508126655
SRR2545903	SRR2545898	0.905533775531825
SRR2545902	SRR2545898	0.915536788239047
SRR2545899	SRR2545898	0.989407633486446
SRR2545898	SRR2545898	1
SRR2545901	SRR2545898	0.899998048016388
SRR2545900	SRR2545898	0.904887061536771
SRR2545897	SRR2545898	0.983702262002305
SRR2545896	SRR2545898	0.989296371306053
SRR2545903	SRR2545901	0.989230805224752
SRR2545902	SRR2545901	0.984169684699322
SRR2545899	SRR2545901	0.907893652746129
SRR2545898	SRR2545901	0.899998048016388
SRR2545901	SRR2545901	1
SRR2545900	SRR2545901	0.988739118524499
SRR2545897	SRR2545901	0.906485662929708
SRR2545896	SRR2545901	0.913101649659604
SRR2545903	SRR2545900	0.985452210028003
SRR2545902	SRR2545900	0.989231016763854
SRR2545899	SRR2545900	0.915631286620721
SRR2545898	SRR2545900	0.904887061536771
SRR2545901	SRR2545900	0.988739118524499
SRR2545900	SRR2545900	1
SRR2545897	SRR2545900	0.916944717747773
SRR2545896	SRR2545900	0.922544580490252
SRR2545903	SRR2545897	0.908013027237195
SRR2545902	SRR2545897	0.922669320311116
SRR2545899	SRR2545897	0.989323778469815
SRR2545898	SRR2545897	0.983702262002305
SRR2545901	SRR2545897	0.906485662929708
SRR2545900	SRR2545897	0.916944717747773
SRR2545897	SRR2545897	1
SRR2545896	SRR2545897	0.989909892003129
SRR2545903	SRR2545896	0.916454693878217
SRR2545902	SRR2545896	0.927781121617337
SRR2545899	SRR2545896	0.989492508126655
SRR2545898	SRR2545896	0.989296371306053
SRR2545901	SRR2545896	0.913101649659604
SRR2545900	SRR2545896	0.922544580490252
SRR2545897	SRR2545896	0.989909892003129
SRR2545896	SRR2545896	1
