sample_id	species	bioproject	analysis_group	design_cell	raw_library_size	detected_ge_1	detected_ge_10	size_factor	status	mapping_flag	num_processed	num_mapped	percent_mapped	library_types	salmon_version	index_seq_hash	index_name_hash	expected_format	compatible_fragment_ratio	elapsed_seconds
SRR14935707	sorghum_bicolor	PRJNA742236	sorghum_prjna742236	elevated	12718336.971	24831	19549	1.23321002249612	pass	pass	15449068	12718337	82.3242994334674	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1	127
SRR14935708	sorghum_bicolor	PRJNA742236	sorghum_prjna742236	elevated	11494310.038	24484	19469	1.27153265550796	pass	pass	13967548	11494310	82.2929693887574	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1	107
SRR14935709	sorghum_bicolor	PRJNA742236	sorghum_prjna742236	elevated	10326047.989	24315	18973	0.927309694047451	pass	pass	12288856	10326048	84.0277402550734	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1	149
SRR14935710	sorghum_bicolor	PRJNA742236	sorghum_prjna742236	elevated	11125653.976	24547	19282	1.11516845423151	pass	pass	13606814	11125654	81.7653125852973	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1	102
SRR14935703	sorghum_bicolor	PRJNA742236	sorghum_prjna742236	ambient	10436893.002	24997	19339	0.895570100608657	pass	pass	14423579	10436893	72.3599392356086	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1	106
SRR14935704	sorghum_bicolor	PRJNA742236	sorghum_prjna742236	ambient	8730462.95	23527	18190	0.866862597753057	pass	pass	10321987	8730463	84.5812245258592	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1	85
SRR14935705	sorghum_bicolor	PRJNA742236	sorghum_prjna742236	ambient	12188587.954	24197	19050	1.19466687908984	pass	pass	14171292	12188588	86.0090103287689	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1	162
SRR14935706	sorghum_bicolor	PRJNA742236	sorghum_prjna742236	ambient	10489408	24475	18571	0.697903976608795	pass	pass	14165576	10489408	74.0485808695672	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1	125
