sample_id	species	bioproject	analysis_group	design_cell	raw_library_size	detected_ge_1	detected_ge_10	size_factor	status	mapping_flag	num_processed	num_mapped	percent_mapped	library_types	salmon_version	index_seq_hash	index_name_hash	expected_format	compatible_fragment_ratio	elapsed_seconds
SRR17385284	triticum_aestivum	PRJNA793265	wheat_prjna793265	well_watered	38520173.969	66385	52960	0.91708640935567	pass	pass	45227886	38520174	85.1690790942561	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	443
SRR17385295	triticum_aestivum	PRJNA793265	wheat_prjna793265	drought	39494921.024	67527	53907	0.940249966233981	pass	pass	45958031	39494921	85.936930152643	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	490
SRR17385296	triticum_aestivum	PRJNA793265	wheat_prjna793265	drought	43146219.979	66925	53844	0.973191600016723	pass	pass	50373673	43146220	85.6523208065451	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	678
SRR17385300	triticum_aestivum	PRJNA793265	wheat_prjna793265	drought	42943492.928	67873	54497	1.03541474054882	pass	pass	50256454	42943493	85.4487127165796	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	690
SRR17385302	triticum_aestivum	PRJNA793265	wheat_prjna793265	well_watered	41560986.92	67482	54333	1.06400565098299	pass	pass	49523252	41560987	83.922168519951	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	482
SRR17385301	triticum_aestivum	PRJNA793265	wheat_prjna793265	well_watered	40518837.903	67527	54737	1.11150695565678	pass	pass	49185210	40518838	82.3801260582195	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	486
