sample_id	PC1	PC2	species	bioproject	tissue	condition	replicate	layout	r1	r2	salmon_index	canary	analysis_group	co2	water	dehydration_stage	design_cell
SRR26553585	-93.3891057867785	-10.0138580982482	glycine_max	PRJNA1033144		Elevated CO2 concentration + Drought stress 1	1	paired	data/fastq/SRR26553585_1.fastq.gz	data/fastq/SRR26553585_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	drought		drought
SRR26553586	72.5890778155765	-33.2999161997606	glycine_max	PRJNA1033144		Elevated CO2 concentration + Controlled water treatment 3	3	paired	data/fastq/SRR26553586_1.fastq.gz	data/fastq/SRR26553586_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	well_watered		well_watered
SRR26553587	108.841415924401	-49.8621811469197	glycine_max	PRJNA1033144		Elevated CO2 concentration + Controlled water treatment 2	2	paired	data/fastq/SRR26553587_1.fastq.gz	data/fastq/SRR26553587_2.fastq.gz	results/rnaseq/glycine_max/index	true	soybean_prjna1033144	elevated	well_watered		well_watered
SRR26553588	109.490802013086	77.5599522912972	glycine_max	PRJNA1033144		Elevated CO2 concentration + Controlled water treatment 1	1	paired	data/fastq/SRR26553588_1.fastq.gz	data/fastq/SRR26553588_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	well_watered		well_watered
SRR26553594	-95.4129202257449	1.74294673031505	glycine_max	PRJNA1033144		Elevated CO2 concentration + Drought stress 2	2	paired	data/fastq/SRR26553594_1.fastq.gz	data/fastq/SRR26553594_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	drought		drought
SRR26553593	-102.11926974054	13.873056423316	glycine_max	PRJNA1033144		Elevated CO2 concentration + Drought stress 3	3	paired	data/fastq/SRR26553593_1.fastq.gz	data/fastq/SRR26553593_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	drought		drought
