sample_id_1	sample_id_2	spearman_correlation
SRR17385284	SRR17385284	1
SRR17385295	SRR17385284	0.962165055212282
SRR17385296	SRR17385284	0.968524259419864
SRR17385300	SRR17385284	0.959937981789157
SRR17385302	SRR17385284	0.988633830975711
SRR17385301	SRR17385284	0.977123454471539
SRR17385284	SRR17385295	0.962165055212282
SRR17385295	SRR17385295	1
SRR17385296	SRR17385295	0.985190104443636
SRR17385300	SRR17385295	0.992008399606454
SRR17385302	SRR17385295	0.970326528817176
SRR17385301	SRR17385295	0.97199700026671
SRR17385284	SRR17385296	0.968524259419864
SRR17385295	SRR17385296	0.985190104443636
SRR17385296	SRR17385296	1
SRR17385300	SRR17385296	0.982907715403839
SRR17385302	SRR17385296	0.973927440263191
SRR17385301	SRR17385296	0.972567959679071
SRR17385284	SRR17385300	0.959937981789157
SRR17385295	SRR17385300	0.992008399606454
SRR17385296	SRR17385300	0.982907715403839
SRR17385300	SRR17385300	1
SRR17385302	SRR17385300	0.968870554402315
SRR17385301	SRR17385300	0.97121196166428
SRR17385284	SRR17385302	0.988633830975711
SRR17385295	SRR17385302	0.970326528817176
SRR17385296	SRR17385302	0.973927440263191
SRR17385300	SRR17385302	0.968870554402315
SRR17385302	SRR17385302	1
SRR17385301	SRR17385302	0.988628560814277
SRR17385284	SRR17385301	0.977123454471539
SRR17385295	SRR17385301	0.97199700026671
SRR17385296	SRR17385301	0.972567959679071
SRR17385300	SRR17385301	0.97121196166428
SRR17385302	SRR17385301	0.988628560814277
SRR17385301	SRR17385301	1
