feature_id	SRR14935707	SRR14935708	SRR14935709	SRR14935710	SRR14935703	SRR14935704	SRR14935705	SRR14935706
SORBI_3001G010400	565	846	407	531	399	399.904	644.141	270
SORBI_3001G010500	0	0	0	0	0	0	0	0
SORBI_3001G010600	857.055	779	739.74	670.005	663	720	1083	505.93
SORBI_3001G010700	993.661	928	805.046	757.17	874.006	790.55	1087.155	805.222
SORBI_3001G010800	148	217	91	157	73	103	212	49
SORBI_3001G010900	165	248	97	188.674	66	126	206.136	49
SORBI_3001G011000	826	930	574.853	648.94	424	867.975	1328.039	410
SORBI_3001G011100	0	0	0	0	0	0	0	0
SORBI_3001G011200	1611	1834	1310.988	1518.002	1003	1385.002	2172.142	879
SORBI_3001G011300	54	89	48	56	24	29	58	16
SORBI_3001G011400	47	75	61	40	41	37	37	29
SORBI_3001G011600	220	259	79	284.223	28.117	176	235	17
SORBI_3001G011700	610.026	820.048	497	526.62	241.883	349	413.626	235
SORBI_3001G011800	26	31	19	18	16	16	36	5
ENSRNA049997137	0	1	3	2	0	0	2	1
ENSRNA049469069	0	0	0	0	0	0	0	0
SORBI_3001G012000	8	2	16	13	46	0	0	37
SORBI_3001G012100	209.999	147	212	195	133.001	161.988	312	101
SORBI_3001G012200	34	31	482	47	496	104	149	134
SORBI_3001G012300	5	0	18	4	32	4	15	30
SORBI_3001G012400	17	8	274	20	318	58	92	203
SORBI_3001G012500	13836.857	19965	3637.092	8438.071	2839	15983.719	8417.983	1286.208
SORBI_3001G012600	910	2022	946.342	664.036	880	1245.382	1032.963	342
SORBI_3001G012700	133	311	111	146	100	93	57	43
SORBI_3001G012800	1848.01	1114	1926.999	1360	2752	1058.908	1741.185	1935
SORBI_3001G012900	525.038	543.003	297.196	475	361	330	476.004	275.005
SORBI_3001G013000	983.052	710	717.496	837.999	634	600	816	393
SORBI_3001G013100	187.996	226	84	163	75	125	130	56.006
SORBI_3001G013200	131	126	83	122	81	97	171	54
SORBI_3001G013300	229	310	135	199	122	150	179.227	91
SORBI_3001G013400	2.023	8.939	1.006	6.804	7.196	4.82	7.089	5.883
SORBI_3001G013500	384	461.188	268	329.005	242	323	467.737	192
SORBI_3001G013600	57	60	46	53	24	27	62	19
ENSRNA049468963	0	0	2	0	0	0	1	0
SORBI_3001G013701	0	0	0	0	0	0	0	0
SORBI_3001G013800	72	78	42	71	52	24	57	17
SORBI_3001G013900	62	47	29	45	29.001	27	60	27
SORBI_3001G014000	10	11	46	13	72	11	12	106
SORBI_3001G014100	690	549	593.998	637.033	716	447.818	691.185	441
SORBI_3001G014200	710	626	680.166	732.933	973	502	778	715.979
SORBI_3001G014300	763.134	808.991	516.043	716.947	521.998	397.981	712.033	358.238
SORBI_3001G014400	0	0	0	0	0	0	0	0
SORBI_3001G014500	231.001	258	163	203.028	147	184	223.003	154.169
SORBI_3001G014600	0	0	0	0	0	0	0	0
SORBI_3001G014700	5	1	2	5	3.302	1	6	2
SORBI_3001G014800	1074.342	1209	768.243	965.995	718	840.988	1216.325	582
SORBI_3001G014900	275	212	224	305.276	332	171.97	211	313
