sample_id	species	status	mapping_flag	num_processed	num_mapped	percent_mapped	library_types	salmon_version	index_seq_hash	index_name_hash	expected_format	compatible_fragment_ratio	elapsed_seconds
SRR17385302	triticum_aestivum	pass	pass	49523252	41560987	83.92216851995099	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	482
SRR17385301	triticum_aestivum	pass	pass	49185210	40518838	82.38012605821953	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	486
SRR2545903	glycine_max	pass	pass	25371243	22648715	89.26923682848333	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1.0	343
SRR2545902	glycine_max	pass	pass	27556027	24449416	88.72620134970836	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1.0	276
SRR2545899	glycine_max	pass	pass	23870953	21368922	89.51851231075693	ISF	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISF	1.0	384
SRR2545898	glycine_max	pass	pass	26318128	23734718	90.18391429663994	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1.0	264
SRR2545901	glycine_max	pass	pass	30687081	27115504	88.36130096570606	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1.0	326
SRR2545900	glycine_max	pass	pass	27865454	24929243	89.46289911515527	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1.0	360
SRR2545897	glycine_max	pass	pass	26247920	23267481	88.64504692181323	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1.0	268
SRR2545896	glycine_max	pass	pass	26548767	23538572	88.66163916388284	ISR	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	ISR	1.0	344
SRR14935707	sorghum_bicolor	pass	pass	15449068	12718337	82.32429943346744	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1.0	127
