feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
TraesCS4A02G068400	458.998	643.322	548.995	236	277.359	243.996	430.998	311.006	290.738	389.691	314.001	269.006	123.999	580.66	397.697	662.996	197.068	252
TraesCS4A02G068500	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0
TraesCS4A02G068600	8	5	11	6	14	6	3	6	8	15	6	15	15	15	2	16	14	21
TraesCS4A02G068700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G068900	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G069000	226.003	339.109	230	294	258	260.002	266	275	231.001	211	220.995	208	432	450.001	602.001	447	407.998	400
TraesCS4A02G069100	185.963	394.001	310.002	456.001	381.987	440.987	495.946	468.989	517.989	534.982	489.991	494.983	39	71	62.343	89	67.281	98.996
TraesCS4A02G069200	366.734	617.575	470.547	440	427.994	414.003	447.036	380.634	420.176	479.624	442.371	372.834	369.294	436.662	374.989	487.007	369.649	397.989
TraesCS4A02G069300	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	2
TraesCS4A02G069400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G069500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA050008267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G069600	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TraesCS4A02G069700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA050019403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G069800	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G069900	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G070000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G070100	0	1	0	0	0	0	0	0.976	0	0	1	0	0	0	7.995	0	0	4.569
ENSRNA050019404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G070200	0	2.997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G070300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G070400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G070500	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	2.005	2.005
TraesCS4A02G070600	461.687	461.374	442.006	745.295	607.115	627.035	1519.886	1209.272	1038.412	849.179	891.117	926.922	99	16.232	40.677	29	90	74.339
TraesCS4A02G070700	5	10.103	18.071	8.996	8	8.237	15.899	28.575	15.5	5.002	14	8.002	0	2.038	3	10.611	0	0
TraesCS4A02G070800	14	12	20	20.002	19	22.004	41	16	28	16	23	16	19.996	46	39	43.301	28.001	17.001
TraesCS4A02G070900	16	8.395	7.983	7	9.008	15	19.067	6	8.997	11	12.364	17.053	9.001	13.99	7	12.007	11.999	21
TraesCS4A02G071000	862	515	611.992	635	629	585	541	581	623	719	540	552	465	388	553	455.575	621	726
TraesCS4A02G071100	19.182	26	18.165	12	6.001	17.002	4	1	3	4	8	6	2	12.983	2	7.417	4	8
TraesCS4A02G071200	410.356	338.991	407.005	467	425	376	490	409	491.401	522.616	555.388	428	260	309	339	311.344	258	281
TraesCS4A02G071300	2096.467	2009.617	2000.757	2430.851	2182.769	2257.987	2185.575	1916.173	2090.192	1861.645	1883.654	1962.842	2022.115	2053.534	2112.265	2327.569	2211.34	2114.367
TraesCS4A02G071400	278.63	284.107	235.843	214.175	207.659	188.614	287.542	268.866	242.283	268.812	312.415	328.854	246.311	166.815	236.392	179.119	209.071	217.635
TraesCS4A02G071500	189.345	159.998	163.004	56.995	69.997	76.003	80.004	126	100.981	140.994	105	80	75	77.002	62	69.002	68	76.007
TraesCS4A02G071600	175.021	176.995	179.996	279.462	249.251	258.831	216.002	194.007	184	230.986	185.004	195.004	272.994	311	307.006	324.006	318.019	293.988
TraesCS4A02G071700	1711	1116	1357.187	1332.565	1388.554	1348	1507.781	1063	1011.062	1648	1312	846.511	516	131	127	124	436	202
TraesCS4A02G071800	49	28	36	25	21	22	36	28	29	25	23	17	18	44	20	24	14	28
TraesCS4A02G071900	50.009	39.412	41.801	72.607	65.949	71.608	39.708	41.404	59.771	47.938	57.304	55.952	70.514	58.779	72.983	56.61	61.197	71.265
TraesCS4A02G072000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G072100	1818.247	1130.999	1421.257	1186.999	1375	1388	839	707.026	647.999	701	673	553	937	1066	1133.607	1141.011	1241.004	1556.997
TraesCS4A02G072200	11	3.001	7	5.003	2	4	12.001	3	3	1	10.513	5.001	1.114	12	8.003	4.003	1	19.006
TraesCS4A02G072300	880.229	706.938	780.821	813.668	759.417	777.039	907.214	903.153	895.623	751.625	697.596	822.909	413.753	601.243	441.553	572.772	503.561	630.65
TraesCS4A02G072400	1218.106	575.908	818.253	837.239	547.674	666.683	739.896	708.63	844.512	987.015	850.936	849.007	609.576	544.138	578.379	546.279	804.165	797.663
TraesCS4A02G072500	431.614	501.792	430.125	415.484	408.824	461.234	695.002	524.262	498.782	494.918	606.613	466.226	297.278	316.977	345.317	390.678	399.746	411.226
TraesCS4A02G072600	400.961	347.279	322.389	337.072	310.644	334.06	382.489	289.77	328.189	317.766	320.116	314.051	351.931	501.592	394.849	463.954	406.541	448.391
TraesCS4A02G072700	852.874	780.873	776.971	963.335	929.183	859.001	881.497	715.944	666.894	600.924	688.9	685.564	632.946	584.064	619.078	541.961	677.101	695.272
TraesCS4A02G072800	483.486	622.449	533.624	701.162	595.858	678.506	503.763	466.987	521.708	484.996	450.02	394.894	666.432	713.955	828.658	761.12	671.082	642.31
