feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
TraesCS4A02G227000	14.804615	17.303404	16.450262	33.902793	27.55012	28.46572	28.889921	28.495104	31.40043	22.376345	30.681367	29.381801	27.799935	28.189484	25.889366	26.571603	30.307514	34.568166
TraesCS4A02G227100	0	0.041153	0	0	0	0	0	0.038591	0.074624	0	0	0	0	0	0	0	0	0
TraesCS4A02G227200	0.011165	0.067548	0.018692	0.019485	0	0.039702	0.033462	0.033792	0.07866	0.021825	0.028172	0.046103	0.039799	0.018517	0.04641	0.017375	0.038505	0.040884
TraesCS4A02G227300	90.618135	89.362189	90.251688	99.932589	98.563225	106.09929	44.811878	42.829791	48.662025	50.99248	52.127888	39.878215	122.440894	122.817381	120.506666	125.492987	128.345299	115.211836
TraesCS4A02G227400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044025	0
TraesCS4A02G227500	0.522397	0.577916	0.38351	1.309079	0.487439	0.605906	0.90897	0.861742	0.737708	1.192765	0.929545	0.890858	0.816105	0.826233	1.042102	0.521074	1.217689	1.230154
TraesCS4A02G227600	0.013055	0.009598	0.01222	0.017478	0.02184	0.031287	0.02625	0.074044	0.036037	0.017164	0.005572	0.049793	0.031572	0.021067	0.008575	0.029358	0.041057	0.060172
TraesCS4A02G227800	0	0.135156	0	0.060889	0.29216	0.242709	0.311744	0.063266	0.214053	0.192997	0.423268	0.274468	0.456027	0.95201	0.743496	0.63964	0.342919	0.320272
TraesCS4A02G227900	23.221291	21.413044	23.288884	29.173233	26.658811	30.906603	23.860526	24.185037	26.339561	28.991445	26.608315	27.358622	27.057222	25.105048	26.994121	25.921009	30.276434	31.32759
TraesCS4A02G228000	1.295188	0.291988	0.29734	1.172727	0.935886	0.82256	1.072961	0.308875	1.215341	0.846766	0	1.545384	0.744132	0.724103	0.211739	0.895664	0.684918	0.96646
TraesCS4A02G228100	0	0	0	0	0.032794	0.060666	0	0	0	0	0.032184	0	0	0	0	0	0	0
TraesCS4A02G228300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G228400	0.3657	0.819309	1.251492	0	1.31024	0.379944	1.515771	0	0	0.799724	0.392168	0.432708	0.344685	0	0.29532	0	0	0.335751
TraesCS4A02G228500	2.105638	2.168982	1.954332	1.834743	2.121673	1.493357	1.663609	2.418568	2.403015	2.945859	1.571246	1.952058	1.072718	1.384205	1.216035	1.738255	1.376897	2.143216
TraesCS4A02G228600	39.809805	20.429738	31.200251	25.313418	26.101649	23.444017	17.102967	21.57736	23.841435	25.924786	27.478486	29.821828	9.975063	7.828337	7.684187	7.528618	10.097147	9.806468
TraesCS4A02G228800	58.167388	36.220227	50.455147	33.254061	35.797433	29.775503	60.919681	65.253045	68.969197	58.755596	71.927117	61.473754	14.377998	16.507091	15.205307	13.857836	13.2282	16.621696
TraesCS4A02G228900	0.749725	0.560995	0.98468	1.367752	1.040951	1.138987	0.687798	1.191285	0.79612	1.019299	0.859061	1.026293	0.546739	0.526716	0.440715	0.594568	0.393796	0.763126
TraesCS4A02G229000	8.410516	12.184555	10.732481	6.809047	8.056683	6.572574	6.102247	6.335588	7.661987	8.344488	7.325371	6.769436	9.375492	10.773233	6.652625	10.11463	10.515458	11.182434
