feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
GLYMA_01G000100	293	298	291	286	291	281	178	196.675	178	174	178	183.438	187.623	191.384
GLYMA_01G000200	2587.56	2665.447	2728.862	2751.623	2709.23	2706.737	3112.611	3292.344	3075.823	2998.933	3003.157	3193.576	3223.215	3261.079
GLYMA_01G000300	262.161	270.359	266.832	288.367	275.716	308.007	278.154329296337	278.154329296337	278.154329296337	278.154329296337	278.154329296337	278.154329296337	278.154329296337	278.154329296337
GLYMA_01G000400	2225.206	2229.285	2285.041	2302.671	2311.183	2332.074	2731.416	2784.718	2684.011	2653.801	2654.229	2726.231	2748.862	2788.804
GLYMA_01G000500	87	88	91	95	91	97	91.4316747571234	91.4316747571234	91.4316747571234	91.4316747571234	91.4316747571234	91.4316747571234	91.4316747571234	91.4316747571234
GLYMA_01G000600	3401.31877175958	3523.77907885622	3497.27498741516	3539.557	3433.853	3490.91360884091	3452.988	3435.918	3353.40134840471	3459.81587101147	3237.19653361933	3480.734	3521.65017528133	3569.86
GLYMA_01G000700	293	297	291	286	291	281	241.8	252.643	239.314	232.344	235.395	241.926	248.231	254.763
GLYMA_01G000800	843.82057632379	843.82057632379	843.82057632379	843.82057632379	843.82057632379	843.82057632379	843.82057632379	807.17	843.82057632379	857.884	843.82057632379	843.82057632379	853	858.337
GLYMA_01G000900	1547.171	1535.404	1569.59	1562.614	1587.264	1604.665	1769.069	1759.203	1739.076	1751.952	1725.572	1746.011	1742.895	1767.706
GLYMA_01G001000	784.83284724542	764.515247117869	770.834446110067	786.922563529396	791.67190154631	807.795331862692	861.829339324834	859.607947336709	817.103223116633	820.184008944433	758.179258544	876.537242694989	859.14245623679	881.794619936828
GLYMA_01G001100	1114.08242335821	1150.58784627427	1162.8391257554	1179.16192344546	1140.42103879016	1154.15422124646	1291.98177685797	1293.60225867634	1260.68690976157	1287.16732598405	1205.568	1285.7046729925	1306.46078386436	1341.78460303874
GLYMA_01G001200	2995.511	3001.153	2943.426	2964.465	3002.95	3073.978	2952.118	2922.568	2874.864	2918.991	2783.504	2964.613	2987.003	3005.481
GLYMA_01G001300	1851.43747683406	1849.96323752456	1844.16094124368	1833.84005623152	1868.85337431388	1894.13994905027	2176.97264044818	2101.89655724992	2094.16532312531	2115.14993889084	1994.84768775214	2087.16097063063	2120.40839032971	2121.56768344092
GLYMA_01G001400	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286	135.214285714286
GLYMA_01G001500	2082.09	2443.85257922594	2443.85257922594	2443.85257922594	2443.85257922594	2443.85257922594	2497.456	2550.35	2466.754	2437.109	2437.056	2492.938	2517.272	2550.175
GLYMA_01G001600	1792.3371941725	1825.43086501108	1810.45390933672	1784.65576600412	1902.56155078804	1799.67841586814	2280.79673244334	2230.06564546126	2143.74877600781	2173.26292045437	2060.50484455159	2189.23143523045	2110.16425884185	2207.05025068198
GLYMA_01G001700	879.326502058212	868.267108009048	924.330087093629	886.46249353447	909.622789301861	925.948318412327	1061.73797903489	1045.48302748068	1025.6421852134	1047.27136530354	1027.19389559994	1031.388	1039.45670915161	1050.94154274353
